"estimate","lb_ci","ub_ci","calculation","adjust"
6.73516504584233,5.70340797298154,7.76692211870312,"N_pos","unadjusted"
10.2588024475116,9.00472778203575,11.5128771129874,"S_pos","unadjusted"
11.3477607805629,10.0169212088392,12.6786003522867,"S_N_pos","unadjusted"
3.017330571372,2.27869273123882,3.75596841150517,"Negative_Positive","unadjusted"
100,100,100,"Positive_Positive","unadjusted"
7.21278043270269,6.09340665784354,8.33215420756184,"Non_vax","unadjusted"
2.98320856473939,0.711760424386691,5.2546567050921,"Vax","unadjusted"
1.21336274333715,0.795209284905348,1.63151620176894,"S1_neg","unadjusted"
55.0369182281312,48.7940432429253,61.279793213337,"S1_pos","unadjusted"
7.30918183406838,6.14099775683842,8.47736591129833,"N_pos","adjusted"
3.09974615478533,2.26343983193105,3.93605247763961,"Negative_Positive","adjusted"
112.906224030092,112.906224030092,112.906224030092,"Positive_Positive","adjusted"
7.84995126967134,6.58256512359577,9.11733741574691,"Non_vax","adjusted"
3.06111226907731,0.489315457976951,5.63290908017767,"Vax","adjusted"
1.05724356577738,0.583798580685845,1.53068855086892,"S1_neg","adjusted"
61.9977712840914,54.9294144531238,69.066128115059,"S1_pos","adjusted"
11.2076670915346,9.59025391678843,12.8250802662807,"S_N_pos","adjusted"
