"estimate","lb_ci","ub_ci","calculation","adjust"
7.78951271023962,6.65740613382273,8.92161928665651,"N_pos","unadjusted"
90.4725148723013,89.2528117632664,91.6922179813363,"S_pos","unadjusted"
90.5318630138198,89.3223053261812,91.7414207014585,"S_N_pos","unadjusted"
1.54243648009864,1.02081403429368,2.06405892590359,"Negative_Positive","unadjusted"
100,100,100,"Positive_Positive","unadjusted"
1.63172953019745,1.09440409770171,2.16905496269319,"Negative_Positive_Non_vax","unadjusted"
0.323330013409068,-0.808860747644806,1.45552077446294,"Negative_Positive_Vax","unadjusted"
18.1704997631937,11.8506624411493,24.4903370852382,"Non_vax","unadjusted"
6.67625510810211,5.45801909030488,7.89449112589935,"Vax","unadjusted"
0.621833314633588,-0.558635956970878,1.80230258623805,"S1_neg","unadjusted"
8.54420205682508,7.30626245671206,9.7821416569381,"S1_pos","unadjusted"
5.15999631631226,-13.0251224865899,23.3451151192144,"Ratio","unadjusted"
8.50294360785336,7.22114102943191,9.78474618627481,"N_pos","adjusted"
1.42983001042704,0.839234557734358,2.02042546311972,"Negative_Positive","adjusted"
112.906224030092,112.906224030092,112.906224030092,"Positive_Positive","adjusted"
1.53093008725375,0.92255527593136,2.13930489857614,"Negative_Positive_Non_vax","adjusted"
0.0495237345649665,-1.23237416004579,1.33142162917572,"Negative_Positive_Vax","adjusted"
20.2565861077944,13.1010903767832,27.4120818388056,"Non_vax","adjusted"
7.24248236277916,5.86316163338225,8.62180309217606,"Vax","adjusted"
0.387497481160371,-0.949062686945836,1.72405764926658,"S1_neg","adjusted"
9.35742389311251,7.95579421936122,10.7590535668638,"S1_pos","adjusted"
90.5095503301917,89.1799185352532,91.8391821251303,"S_N_pos","adjusted"
