"Adjust","Calculation","estimate","lb_ci","ub_ci"
"unadjusted","All",3.89096435682609,3.15891709844421,4.62301161520798
"unadjusted","Negative_Positive",2.07737945266436,1.4755486005451,2.67921030478361
"unadjusted","Positive_Positive",100,100,100
"adjusted","All",4.08889864459365,3.26005436184946,4.91774292733787
"adjusted","Negative_Positive",2.03550733430002,1.35409769134783,2.71691697725218
"adjusted","Positive_Positive",112.906224030092,112.906224030092,112.906224030092
